JerseyNo,Position,firstName,lastName,Goals,CAPS,TeamName
10,MF,Linda Maserame,Motlhalo,19,69,South Africa
11,FW,Chrestinah Thembi,Kgatlana,4,72,South Africa
12,FW,Jermaine,Seoposenwe,20,95,South Africa
13,DF,Bambanani Nolufefe,Mbane,4,82,South Africa
14,DF,Tiisetso Martha,Makhi-Ibe-La,2,25,South Africa
15,MF,Refiloe,Jane,16,134,South Africa
16,GK,Andile,Dlamini,0,69,South Africa
17,FW,Melinda,Kgadiete,3,27,South Africa
18,DF,Sibulele Cecilia,Holweni,16,31,South Africa
19,MF,Kholosa Mthikazi,Biyana,2,39,South Africa
20,MF,Robyn Kimberly,Moodaly,2,42,South Africa
21,GK,Kebotseng Katlego Gertrude,Moletsane,0,1,South Africa
22,MF,Mapula Nomvula,Kgoale,5,21,South Africa
23,MF,Wendy,Shongwe,0,2,South Africa
1,GK,Maria Isabel,Rodriguez Rivero,0,17,Spain
2,DF,Ona,Batlle Pascual,1,37,Spain
3,MF,Teresa Jose,Abelleira Duenas,2,22,Spain
4,DF,Irene,Paredes Hernandez,11,97,Spain
5,DF,Ivana,Andres Sanz,0,51,Spain
6,MF,Aitana,Bonma Conca,19,54,Spain
7,MF,Irene,Guerrero Sanmartin,5,26,Spain
8,FW,Maria Francesca,Caldentey Oliver,20,61,Spain
9,FW,Ester,Gonzalez Rodr Giez,26,42,Spain
10,FW,Jennifer,Hermoso Fuentes,51,105,Spain
11,MF,Alexia,Putellas Segura,28,109,Spain
12,DF,Oihane,Hernandez Zurbano,0,14,Spain
13,GK,Enith,Sal N Marcuello,0,2,Spain
14,DF,Laia,Codina Panedas,2,9,Spain
15,FW,Eva Maria,Navarro Garcia,3,14,Spain
16,MF,Maria,Perez Rabaza,0,5,Spain
17,FW,Alba Maria,Redondo Ferrer,14,35,Spain
18,FW,Salma Celeste,Paralluelo Ayingono,8,14,Spain
19,DF,Olga,Carmona Garc a,3,30,Spain
20,DF,Rocio,Galvez Luna,0,12,Spain
21,MF,Claudia,Zornoza Sanchez,0,13,Spain
22,FW,Athenea,Del Castillo Beii vide,7,30,Spain
23,GK,Catalina Tomas,Coll Lluch,0,4,Spain
1,GK,Zecira,Musovic,0,16,Sweden
2,DF,Jonna Ann-Charlotte,Andersson,3,86,Sweden
3,DF,Linda Brigitta,Sembrant,17,138,Sweden
4,DF,Stina Olivia,Lennartsson,0,2,Sweden
5,DF,Anna Linnea,Sandberg,0,3,Sweden
6,DF,Magdalena Lilly,Eriksson,10,102,Sweden
7,FW,Madelen Fatimma Maria,Janogy,8,36,Sweden
8,FW,Lina Mona Andrea,Hurtig,20,68,Sweden
9,MF,Kosovare,Asllani,45,176,Sweden
10,FW,Eva Sofia,Jakobsson,23,148,Sweden
11,FW,Emma Stina,Blackstenius,29,97,Sweden
12,GK,Jennifer Miley,Falk,0,17,Sweden
13,DF,Amanda,Ilestedt,12,71,Sweden
14,DF,Gun Nathalie,Bjorn,6,56,Sweden
15,FW,Rebecka Maria,Blomqvist,7,28,Sweden
16,MF,Ingrid Filippa,Angeldal,12,46,Sweden
17,MF,Sara Caroline,Seger,32,238,Sweden
18,MF,Fridolina,Rolfo,28,83,Sweden
19,MF,Anna Johanna,Rytting Kaneryd,2,32,Sweden
20,MF,Hanna Ulrika,Bennison,1,37,Sweden
21,GK,Tove Evelina,Enblom,0,0,Sweden
22,MF,Olivia Alma Charlotta,Schough,13,109,Sweden
23,MF,Elin Ingrid Johanna,Rubensson,4,85,Sweden
1,GK,Gaelle,Thalmann,0,109,Switzerland
2,DF,Julia,Stierli,1,33,Switzerland
3,DF,Lara Katinka,Marti,0,13,Switzerland
4,DF,Laura,Felber,0,1,Switzerland
5,DF,Noelle,Maritz,2,108,Switzerland
6,MF,Geraldine Josephine,Reuteler,11,59,Switzerland
7,MF,Amira,Arfaoui,0,1,Switzerland
8,DF,Nadine Andrina,Riesen,0,13,Switzerland
9,FW,Ana-Maria,Crnogorcevic,71,151,Switzerland
10,FW,Ramona,Bachmann,58,137,Switzerland
11,MF,Coumba Louisa,Sow,13,40,Switzerland
12,GK,Livia Maite,Peng,0,3,Switzerland
13,MF,Lia Joelle,Walti,5,112,Switzerland
14,DF,Marion,Rey,0,6,Switzerland
15,DF,Luana Chiara,Bohler,1,41,Switzerland
16,MF,Sandrine,Mauron,2,37,Switzerland
17,MF,Seraina Severin,Pijbel,3,11,Switzerland
18,DF,Viola Monica,Calligaris,5,46,Switzerland
19,DF,Eseosa Mandy,Aigbogun,3,95,Switzerland
20,FW,Fabienne Valerie,Humm,25,80,Switzerland
21,GK,Seraina,Friedli,0,10,Switzerland
22,FW,Meriame,Terchoun,2,26,Switzerland
23,FW,Alisha Debora,Lehmann,6,41,Switzerland
1,GK,Alyssa Michele,Naeher,0,95,USA
2,MF,Ashley Nicole,Sanchez,3,25,USA
3,DF,Sofia Christine,Huerta,0,31,USA
4,DF,Naomi Haile,Girma,0,20,USA
5,DF,Kelley Maureen,O'Hara,3,160,USA
6,FW,Lynn Raenie,Williams,15,55,USA
7,FW,Alyssa Paola,Thompson,0,6,USA
8,MF,Julie Beth,Ertz,20,122,USA
9,MF,Savannah Marie,de Melo,0,3,USA
10,MF,Lindsey Michelle,Horan,29,133,USA
11,FW,Sophia Olivia,Smith,14,34,USA
12,DF,Alana Simone,Cook,1,25,USA
13,FW,Alexandra Morgan,Carrasco,121,211,USA
14,DF,Emily Ann,Sonnett,1,77,USA
15,FW,Megan Anna,Rapinoe,63,202,USA
16,MF,Rosemary Kathleen,Lavelle,24,91,USA
17,MF,Andi Maureen,Sullivan,3,49,USA
18,GK,Casey Grace,Murphy,0,14,USA
19,DF,Crystal Alyssia,Soubrier,24,136,USA
20,FW,Trinity Rain,Rodman,4,22,USA
21,GK,Aubrey Renee,Kingsbury,0,1,USA
22,MF,Kristen Anne,Mews,7,53,USA
23,DF,Emily Ann,Fox,1,33,USA
1,GK,Thi Kieu Oanh,Dao,0,1,Vietnam
2,DF,Thi Thu Thuong,Luong,0,25,Vietnam
3,DF,Thi Kieu,Chuong,4,93,Vietnam
4,DF,Thi Thu,Tran,1,25,Vietnam
5,DF,Thi Loan,Hoang,2,45,Vietnam
6,DF,Thi Thuy Nga,Tran,0,5,Vietnam
7,MF,Thi Tuyet Dung,Nguyen,50,124,Vietnam
8,MF,Thi Thuy Trang,Tran,8,100,Vietnam
9,FW,Nhu,Huynh,66,79,Vietnam
10,MF,Thi Hai Linh,Tran,0,21,Vietnam
11,MF,Thi Thao,Thai,12,54,Vietnam
12,FW,Hai Yen,Pham,34,75,Vietnam
13,DF,Thi Diem My,Le,0,38,Vietnam
14,GK,Thi Kim Thanh,Tran,0,85,Vietnam
15,FW,Thi Thuy Hang,Nguyen,1,21,Vietnam
16,MF,Thi Van,Duong,2,25,Vietnam
17,DF,Thi Thu Thao,Tran,0,11,Vietnam
18,FW,Thi Hoa,Vu,0,9,Vietnam
19,MF,Thi Thanh Nha,Nguyen,7,29,Vietnam
20,GK,Thi Hang,Khong,0,20,Vietnam
21,MF,Thi Van Su,Ngan,6,36,Vietnam
22,DF,Thi My Anh,Nguyen,0,18,Vietnam
23,MF,Thi Bich Thuy,Nguyen,15,85,Vietnam
1,GK,Catherine,Musonda,0,0,Zambia
2,DF,Judith,Soko,0,0,Zambia
3,DF,Lushomo,Mweemba,0,0,Zambia
4,MF,Susan,Banda,0,0,Zambia
5,DF,Mary,Mulenga,0,0,Zambia
6,MF,Mary,Wilombe,0,0,Zambia
7,FW,Ochumba Oseke,Lubandji,0,0,Zambia
8,DF,Margaret,Belemij,0,0,Zambia
9,FW,Hellen,Mubanga,0,0,Zambia
10,MF,Comfort,Selemani,0,0,Zambia
11,FW,Barbra,Banda,0,0,Zambia
12,MF,Evarine Suzeni,Katongo,0,0,Zambia
13,DF,Martha,Tembo,0,0,Zambia
14,MF,Ireen,Lungu,0,0,Zambia
15,DF,Agness,Musesa,0,0,Zambia
16,GK,Leticia,Lungu,0,0,Zambia
17,FW,Racheal,Kundananji,0,0,Zambia
18,GK,Eunice,Sakala,0,0,Zambia
19,FW,Siomala,Mapepa,0,0,Zambia
20,FW,Hellen Nga'ndwe,Chanda,0,0,Zambia
21,MF,Avell,Chitundu,0,0,Zambia
22,DF,Esther,Banda,0,0,Zambia
23,DF,Vast,Phiri,0,0,Zambia
